e1/do,e2/do,fu/fy,fmx/fndt,type
1.9,3.6,1.128364,2.582009,TO
1.4,2.8,1.399417,2.369792,B
2.8,4.7,1.399417,3.428819,B
2.8,4.7,1.399417,3.055556,B
2.8,4.7,1.399417,3.06713,B
2.8,4.7,1.399417,2.541233,N
1.2,1.2,1.118168,1.219177,SP
1.2,1.2,1.118168,1.208168,SP
1.2,1.2,1.118168,1.205416,SP
1.2,1.5,1.118168,1.243945,SP
1.2,1.5,1.118168,1.216424,SP
1.2,1.5,1.118168,1.213672,SP
1.5,1.5,1.118168,1.543923,SP
1.5,1.5,1.118168,1.546675,SP
1.5,1.5,1.118168,1.519155,SP
1.5,2,1.118168,1.582453,TO
1.5,2,1.118168,1.585205,TO
1.5,2,1.118168,1.568692,TO
1.2,1.2,1.041212,1.239329,SP
1.2,1.2,1.041212,1.251455,SP
1.2,1.2,1.041212,1.251455,SP
1.2,1.5,1.041212,1.273283,TO
1.2,1.5,1.041212,1.268432,TO
1.2,1.5,1.041212,1.251455,TO
1.5,1.5,1.041212,1.549767,SP
1.5,1.5,1.041212,1.566744,SP
1.5,1.5,1.041212,1.607974,SP
1.5,2,1.041212,1.644354,TO
1.5,2,1.041212,1.586147,TO
1.5,2,1.041212,1.586147,TO
1.2,1.2,1.041096,1.21593,SP
1.2,1.2,1.041096,1.213972,SP
1.2,1.2,1.041096,1.204182,SP
1.2,1.5,1.041096,1.268797,TO
1.2,1.5,1.041096,1.259007,TO
1.2,1.5,1.041096,1.247259,TO
1.5,1.5,1.041096,1.580122,SP
1.5,1.5,1.041096,1.554668,SP
1.5,1.5,1.041096,1.566416,SP
1.5,2,1.041096,1.634947,TO
1.5,2,1.041096,1.632989,TO
1.5,2,1.041096,1.621241,TO
1.5,4.5,1.060302,1.536335,SP
2,4.5,1.060302,1.793049,SP
3,4.5,1.060302,2.148499,TO
1.5,4.5,1.060302,1.578791,SP
1.5,4.5,1.060302,1.565462,SP
2,4.5,1.060302,1.755036,SP
3,4.5,1.060302,2.052725,TO
3,4.5,1.060302,2.034953,TO
1.5,4.5,1.060302,1.866114,SP
1.5,4.5,1.060302,1.916469,SP
2.5,4.5,1.060302,2.252666,N
3,4.5,1.060302,2.254147,N
2,4.5,1.060302,2.280806,SP
2.5,4.5,1.060302,2.503949,SP
1.2,4.5,1.060302,2.110486,SP
1.5,4.5,1.060302,2.223045,SP
2,4.5,1.060302,2.276363,N
2.5,4.5,1.060302,2.279325,N
3,4.5,1.060302,2.276363,N
3,4.5,1.060302,2.270438,N
5,4.5,1.060302,2.231931,N
2,4.5,1.060302,2.261552,N
2,4.5,1.060302,2.191943,N
2.3,2.3,1.119369,2.0389,TO
1.9,1.9,1.119369,1.715851,TO
2.3,2.3,1.119369,2.471496,TO
2.3,2.1,1.126667,2.215448,TO
2.3,1.9,1.126667,2.328512,TO
1.8,2.3,1.221453,2.381964,TO
2.3,2.3,1.221453,2.804533,TO
2.7,2.3,1.221453,3.29084,TO
2.3,2.1,1.221453,3.008842,TO
1.8,2.3,1.234973,1.878319,TO
2.3,2.3,1.234973,2.221239,TO
2.1,2.1,1.234973,1.893939,TO
1.9,1.9,1.234973,1.647001,TO
2.1,2.1,1.264957,1.7931,TO
1.9,1.9,1.264957,1.500094,TO
2.3,2.3,1.541528,3.071121,TO
2.3,2.1,1.076132,3.049617,TO
2.3,1.9,1.076132,2.600736,TO
1.8,2.3,1.076132,2.476896,TO
2.3,2.1,1.322581,2.589687,TO
2.3,1.9,1.322581,2.698952,TO
1.8,2.3,1.143162,1.763863,TO
2.1,2.1,1.143162,2.192014,TO
1.9,1.9,1.143162,1.900312,TO
1.9,1.9,1.238208,1.806349,TO
1.6,1.6,1.528024,1.670528,TO
1.5,3,1.118168,1.67107,TO
1.5,3,1.041212,1.610157,TO
1.5,3,1.041096,1.659422,TO
1,1,1.06762,0.903877,B
1,1.2,1.06762,0.826003,B
1.2,1.2,1.06762,1.020436,B
1,1.5,1.06762,0.974421,B
1.1,1.5,1.06762,1.029458,B
1,2,1.06762,0.991169,B
1.2,2,1.06762,1.221072,B
2,2,1.06762,1.983354,B
2,2.5,1.06762,3.204425,B
1.2,1,1.06762,1.060698,N
2,1.5,1.058028,2.292788,B
2,1.5,1.058028,2.267122,B
2,1.5,1.058028,2.010767,B
2,2,1.058028,2.25554,B
2,1,1.058028,1.76756,B
2.5,1.5,1.058028,2.376049,N
1.5,1.5,1.058028,1.796983,TO
2,1.5,1.058028,2.227995,B
2,1.5,1.058028,2.052398,B
2,1.5,1.058028,2.282578,N
1.9,1.5,1.058028,2.085104,N
2,1.5,1.058028,1.221047,N
2,1.5,1.058028,1.200388,N
2,1.5,1.058028,1.196006,N
2,2,1.058028,1.721235,N
2,1,1.058028,1.59384,N
2.5,1.5,1.058028,1.219795,N
1.5,1.5,1.058028,1.223864,N
2,1.5,1.058028,1.220421,N
2,1.5,1.058028,1.188181,N
2,1.5,1.058028,1.240638,N
1.9,1.5,1.058028,1.255006,N
1.2,1.2,1.230916,1.340388,B
1.2,1.35,1.230916,1.269841,B
1.2,1.5,1.230916,1.287888,B
1.2,1.2,1.230916,1.238669,B
1.2,1.35,1.230916,1.26656,B
1.2,1.5,1.230916,1.264919,B
1.2,1.2,1.230916,1.330544,B
1.2,1.35,1.230916,1.314138,B
1.2,1.5,1.230916,1.333826,B
1.2,0.9,1.230916,0.931873,N
1.2,1.05,1.230916,1.033592,N
1.2,0.9,1.230916,1.08281,N
1.2,1.05,1.230916,1.250154,N
3.03,2.43,1.307018,3.53799,TO
3,3.07,1.307018,3.670561,TO
2.99,4.03,1.307018,3.943989,TO
3.01,5.01,1.307018,3.993703,TO
3.49,5.01,1.307018,4.44113,TO
3.83,7.52,1.307018,4.896843,TO
4.44,7.51,1.307018,5.443699,TO
5.04,3.36,1.307018,5.219985,TO
5,5.03,1.307018,5.079128,TO
4.94,7.47,1.307018,4.963129,TO
1.53,5.03,1.307018,2.00928,SP
2.02,5.02,1.307018,2.286851,SP
2.36,4.99,1.307018,2.481564,SP
